case_id,from_resource,to_resource,activity,timestamp,message
S_llm_agent_proxy_0000,Clerk-000004,AML Investigator-000001,AML check,2023-04-20T08:32:30+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0000,AML Investigator-000001,Appraiser-000002,Appraise property,2023-04-20T08:42:39+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0000,Appraiser-000002,Clerk-000002,Check credit history,2023-04-20T08:45:49+00:00,Handover for Check credit history; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0000,Clerk-000002,Loan Officer-000001,Assess loan risk,2023-04-20T08:47:13+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0000,Loan Officer-000001,Loan Officer-000003,Design loan offer,2023-04-20T09:07:13+00:00,Handover for Design loan offer; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0000,Loan Officer-000003,Senior Officer-000002,Approve loan offer,2023-04-20T09:07:17+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0000,Senior Officer-000002,Clerk-000004,Cancel application,2023-04-20T09:27:17+00:00,Handover for Cancel application; selected Clerk-000004 from 8 feasible resources.
S_llm_agent_proxy_0001,Clerk-000003,AML Investigator-000002,AML check,2023-04-20T08:51:00+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0001,AML Investigator-000002,Appraiser-000001,Appraise property,2023-04-20T09:05:11+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0001,Appraiser-000001,Clerk-000008,Check credit history,2023-04-20T09:07:00+00:00,Handover for Check credit history; selected Clerk-000008 from 8 feasible resources.
S_llm_agent_proxy_0001,Clerk-000008,Loan Officer-000002,Assess loan risk,2023-04-20T09:47:21+00:00,Handover for Assess loan risk; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0001,Loan Officer-000002,Loan Officer-000004,Design loan offer,2023-04-20T10:07:21+00:00,Handover for Design loan offer; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0001,Loan Officer-000004,Senior Officer-000002,Approve loan offer,2023-04-20T10:17:30+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0001,Senior Officer-000002,Clerk-000001,Cancel application,2023-04-20T10:37:30+00:00,Handover for Cancel application; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0002,Clerk-000003,Appraiser-000002,Appraise property,2023-04-20T09:08:27+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0002,Appraiser-000002,Clerk-000001,Check credit history,2023-04-20T09:26:08+00:00,Handover for Check credit history; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0002,Clerk-000001,AML Investigator-000001,AML check,2023-04-21T01:53:56+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0002,AML Investigator-000001,Loan Officer-000003,Assess loan risk,2023-04-21T02:41:03+00:00,Handover for Assess loan risk; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0002,Loan Officer-000003,Clerk-000003,Reject application,2023-04-21T03:01:03+00:00,Handover for Reject application; selected Clerk-000003 from 8 feasible resources.
S_llm_agent_proxy_0003,Clerk-000001,Appraiser-000002,Appraise property,2023-04-20T09:44:40+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0003,Appraiser-000002,Clerk-000005,Check credit history,2023-04-20T09:45:58+00:00,Handover for Check credit history; selected Clerk-000005 from 8 feasible resources.
S_llm_agent_proxy_0003,Clerk-000005,AML Investigator-000002,AML check,2023-04-20T10:17:30+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
