case_id,activity,previous_activity,previous_resource,decision_timestamp,candidate_count,shortlist_count,shortlist_resources,valid_bid_count,accepted_bid_count,bid_score_range,proposed_resource,executed_resource,proposal_accepted,selection_rule,bid_indices,execution_timestamp
0,Check application form completeness,,,2023-04-20 08:00:00+00:00,8,2,Clerk-000001|Clerk-000006,2,2,0.0,Clerk-000001,Clerk-000001,true,highest_valid_agent_bid,"[0, 1]",2023-04-20 08:00:00+00:00
0,AML check,Check application form completeness,Clerk-000001,2023-04-20 08:14:23.497469011+00:00,2,2,AML Investigator-000002|AML Investigator-000001,2,2,0.01631200000000005,AML Investigator-000002,AML Investigator-000002,true,highest_valid_agent_bid,"[2, 3]",2023-04-20 08:14:23.497469011+00:00
1,Check application form completeness,,,2023-04-20 08:18:45+00:00,8,2,Clerk-000006|Clerk-000008,2,2,0.002265000000000017,Clerk-000006,Clerk-000006,true,highest_valid_agent_bid,"[4, 5]",2023-04-20 08:18:45+00:00
0,Appraise property,AML check,AML Investigator-000002,2023-04-20 09:33:51.203074165+00:00,2,2,Appraiser-000001|Appraiser-000002,2,2,0.01631200000000005,Appraiser-000001,Appraiser-000001,true,highest_valid_agent_bid,"[6, 7]",2023-04-20 09:33:51.203074165+00:00
2,Check application form completeness,,,2023-04-20 08:37:30+00:00,8,2,Clerk-000008|Clerk-000007,2,2,0.005662,Clerk-000008,Clerk-000008,true,highest_valid_agent_bid,"[8, 9]",2023-04-20 08:37:30+00:00
1,AML check,Check application form completeness,Clerk-000006,2023-04-20 08:47:36.895713951+00:00,2,1,AML Investigator-000001,1,1,0.0,AML Investigator-000001,AML Investigator-000001,true,highest_valid_agent_bid,[10],2023-04-20 08:47:36.895713951+00:00
0,Check credit history,Appraise property,Appraiser-000001,2023-04-20 10:33:06.239307081+00:00,8,2,Clerk-000005|Clerk-000002,2,2,0.0012540000000000051,Clerk-000005,Clerk-000005,true,highest_valid_agent_bid,"[11, 12]",2023-04-20 10:33:06.239307081+00:00
3,Check application form completeness,,,2023-04-20 08:56:15+00:00,8,2,Clerk-000007|Clerk-000003,2,2,0.0056629999999999875,Clerk-000007,Clerk-000007,true,highest_valid_agent_bid,"[13, 14]",2023-04-20 08:56:15+00:00
1,Appraise property,AML check,AML Investigator-000001,2023-04-20 09:46:23.776806329+00:00,2,1,Appraiser-000002,1,1,0.0,Appraiser-000002,Appraiser-000002,true,highest_valid_agent_bid,[15],2023-04-20 09:46:23.776806329+00:00
2,Return application back to applicant,Check application form completeness,Clerk-000008,2023-04-20 09:57:28.914809172+00:00,8,2,Clerk-000003|Clerk-000002,2,2,0.011628,Clerk-000003,Clerk-000003,true,highest_valid_agent_bid,"[16, 17]",2023-04-20 09:57:28.914809172+00:00
0,Assess loan risk,Check credit history,Clerk-000005,2023-04-20 11:31:27.098319038+00:00,4,2,Loan Officer-000001|Loan Officer-000004,2,2,0.011292999999999997,Loan Officer-000001,Loan Officer-000001,true,highest_valid_agent_bid,"[18, 19]",2023-04-20 11:31:27.098319038+00:00
3,Check credit history,Check application form completeness,Clerk-000007,2023-04-20 09:09:38.830911638+00:00,8,2,Clerk-000002|Clerk-000004,2,2,0.0012550000000000061,Clerk-000002,Clerk-000002,true,highest_valid_agent_bid,"[20, 21]",2023-04-20 09:09:38.830911638+00:00
4,Check application form completeness,,,2023-04-20 09:15:00+00:00,8,2,Clerk-000004|Clerk-000001,2,2,0.03284200000000001,Clerk-000001,Clerk-000001,true,highest_valid_agent_bid,"[22, 23]",2023-04-20 09:15:00+00:00
1,Check credit history,Appraise property,Appraiser-000002,2023-04-20 09:59:11.879907665+00:00,8,2,Clerk-000004|Clerk-000002,2,2,0.0012550000000000061,Clerk-000002,Clerk-000002,true,highest_valid_agent_bid,"[24, 25]",2023-04-20 09:59:11.879907665+00:00
2,Applicant completes form,Return application back to applicant,Clerk-000003,2023-04-20 10:02:28.914809172+00:00,1,1,Applicant-000001,1,1,0.0,Applicant-000001,Applicant-000001,true,highest_valid_agent_bid,[26],2023-04-20 10:02:28.914809172+00:00
0,Reject application,Assess loan risk,Loan Officer-000001,2023-04-20 11:51:27.098319038+00:00,8,2,Clerk-000004|Clerk-000008,2,2,0.006079000000000001,Clerk-000008,Clerk-000008,true,highest_valid_agent_bid,"[27, 28]",2023-04-20 11:51:27.098319038+00:00
3,AML check,Check credit history,Clerk-000002,2023-04-20 09:23:18.952386663+00:00,2,2,AML Investigator-000002|AML Investigator-000001,2,2,0.01631200000000005,AML Investigator-000002,,,highest_valid_agent_bid,"[29, 30]",
4,Check credit history,Check application form completeness,Clerk-000001,2023-04-20 09:28:09.487046638+00:00,8,2,Clerk-000004|Clerk-000007,2,2,0.013801999999999995,Clerk-000004,Clerk-000004,true,highest_valid_agent_bid,"[31, 32]",2023-04-20 09:28:09.487046638+00:00
5,Check application form completeness,,,2023-04-20 09:33:45+00:00,8,2,Clerk-000006|Clerk-000007,2,2,0.007927000000000017,Clerk-000006,Clerk-000006,true,highest_valid_agent_bid,"[33, 34]",2023-04-20 09:33:45+00:00
1,Assess loan risk,Check credit history,Clerk-000002,2023-04-20 10:16:39.462473941+00:00,4,2,Loan Officer-000004|Loan Officer-000002,2,2,0.0034500000000000086,Loan Officer-000004,Loan Officer-000004,true,highest_valid_agent_bid,"[35, 36]",2023-04-20 10:16:39.462473941+00:00
2,Check application form completeness,Applicant completes form,Applicant-000001,2023-04-20 11:02:28.914809172+00:00,8,2,Clerk-000007|Clerk-000003,2,2,0.36976200000000004,Clerk-000003,Clerk-000003,true,highest_valid_agent_bid,"[37, 38]",2023-04-20 11:02:28.914809172+00:00
4,AML check,Check credit history,Clerk-000004,2023-04-20 09:32:11.544921796+00:00,2,2,AML Investigator-000002|AML Investigator-000001,2,2,0.01631200000000005,AML Investigator-000002,,,highest_valid_agent_bid,"[39, 40]",
3,Appraise property,Check credit history,Clerk-000002,2023-04-20 09:46:23.776806329+00:00,2,2,Appraiser-000001|Appraiser-000002,2,2,0.01631200000000005,Appraiser-000001,,,highest_valid_agent_bid,"[41, 42]",
6,Check application form completeness,,,2023-04-20 09:52:30+00:00,8,2,Clerk-000007|Clerk-000004,2,2,0.024914999999999993,Clerk-000007,Clerk-000007,true,highest_valid_agent_bid,"[43, 44]",2023-04-20 09:52:30+00:00
5,Check credit history,Check application form completeness,Clerk-000006,2023-04-20 10:23:13.126229352+00:00,8,2,Clerk-000004|Clerk-000002,2,2,0.0012550000000000061,Clerk-000002,Clerk-000002,true,highest_valid_agent_bid,"[45, 46]",2023-04-20 10:23:13.126229352+00:00
1,Design loan offer,Assess loan risk,Loan Officer-000004,2023-04-20 10:36:39.462473941+00:00,4,2,Loan Officer-000003|Loan Officer-000002,2,2,0.036324999999999996,Loan Officer-000003,Loan Officer-000003,true,highest_valid_agent_bid,"[47, 48]",2023-04-20 10:36:39.462473941+00:00
2,Check credit history,Check application form completeness,Clerk-000003,2023-04-20 13:08:03.707387035+00:00,8,2,Clerk-000005|Clerk-000004,2,2,0.0025090000000000112,Clerk-000005,Clerk-000005,true,highest_valid_agent_bid,"[49, 50]",2023-04-20 13:08:03.707387035+00:00
4,Appraise property,Check credit history,Clerk-000004,2023-04-20 09:46:23.776806329+00:00,2,2,Appraiser-000001|Appraiser-000002,2,2,0.01631200000000005,Appraiser-000001,,,highest_valid_agent_bid,"[51, 52]",
3,Appraise property,Check credit history,Clerk-000002,2023-04-20 09:59:11.879907665+00:00,2,1,Appraiser-000002,1,1,0.0,Appraiser-000002,Appraiser-000002,true,highest_valid_agent_bid,[53],2023-04-20 09:59:11.879907665+00:00
6,Return application back to applicant,Check application form completeness,Clerk-000007,2023-04-20 10:02:52.219795725+00:00,8,2,Clerk-000004|Clerk-000007,2,2,0.0,Clerk-000007,Clerk-000007,true,highest_valid_agent_bid,"[54, 55]",2023-04-20 10:02:52.219795725+00:00
7,Check application form completeness,,,2023-04-20 10:11:15+00:00,8,2,Clerk-000004|Clerk-000001,2,2,0.394677,Clerk-000001,Clerk-000001,true,highest_valid_agent_bid,"[56, 57]",2023-04-20 10:11:15+00:00
1,Approve loan offer,Design loan offer,Loan Officer-000003,2023-04-20 10:40:42.786399362+00:00,2,2,Senior Officer-000001|Senior Officer-000002,2,2,0.0,Senior Officer-000001,Senior Officer-000001,true,highest_valid_agent_bid,"[58, 59]",2023-04-20 10:40:42.786399362+00:00
5,AML check,Check credit history,Clerk-000002,2023-04-20 10:53:07.732046210+00:00,2,2,AML Investigator-000002|AML Investigator-000001,2,2,0.01631200000000005,AML Investigator-000002,AML Investigator-000002,true,highest_valid_agent_bid,"[60, 61]",2023-04-20 10:53:07.732046210+00:00
