case_id,activity,resource,agent_type,valid,accept,suitability,expected_delay_minutes,reason,memory_items,error_type,selected
0,Check application form completeness,Clerk-000001,Role 1,true,true,0.439807,0.0,The task is feasible and the score combines local experience and workload.,0,,true
0,Check application form completeness,Clerk-000006,Role 1,true,true,0.439807,0.0,The task is feasible and the score combines local experience and workload.,0,,false
0,Appraise property,Appraiser-000001,Role 4,true,true,0.680301,0.0,The task is feasible and the score combines local experience and workload.,0,,true
0,Appraise property,Appraiser-000002,Role 4,true,true,0.669699,0.0,The task is feasible and the score combines local experience and workload.,0,,false
1,Check application form completeness,Clerk-000006,Role 1,true,true,0.439807,0.0,The task is feasible and the score combines local experience and workload.,0,,true
1,Check application form completeness,Clerk-000008,Role 1,true,true,0.438335,0.0,The task is feasible and the score combines local experience and workload.,0,,false
0,Check credit history,Clerk-000005,Role 1,true,true,0.440527,0.0,The task is feasible and the score combines local experience and workload.,0,,true
0,Check credit history,Clerk-000002,Role 1,true,true,0.439712,0.0,The task is feasible and the score combines local experience and workload.,0,,false
1,Appraise property,Appraiser-000002,Role 4,true,true,0.669699,0.0,The task is feasible and the score combines local experience and workload.,0,,true
2,Check application form completeness,Clerk-000008,Role 1,true,true,0.438335,0.0,The task is feasible and the score combines local experience and workload.,0,,true
2,Check application form completeness,Clerk-000007,Role 1,true,true,0.434655,0.0,The task is feasible and the score combines local experience and workload.,0,,false
0,AML check,AML Investigator-000002,Role 3,true,true,0.680301,0.0,The task is feasible and the score combines local experience and workload.,0,,true
0,AML check,AML Investigator-000001,Role 3,true,true,0.669699,0.0,The task is feasible and the score combines local experience and workload.,0,,false
1,Check credit history,Clerk-000002,Role 1,true,true,0.439712,0.0,The task is feasible and the score combines local experience and workload.,0,,true
1,Check credit history,Clerk-000004,Role 1,true,true,0.438896,0.0,The task is feasible and the score combines local experience and workload.,0,,false
2,Return application back to applicant,Clerk-000007,Role 1,true,true,0.470931,0.0,The task is feasible and the score combines local experience and workload.,0,,true
2,Return application back to applicant,Clerk-000003,Role 1,true,true,0.43314,0.0,The task is feasible and the score combines local experience and workload.,0,,false
3,Check application form completeness,Clerk-000003,Role 1,true,true,0.430974,0.0,The task is feasible and the score combines local experience and workload.,0,,true
3,Check application form completeness,Clerk-000004,Role 1,true,true,0.41846,0.0,The task is feasible and the score combines local experience and workload.,0,,false
0,Assess loan risk,Loan Officer-000001,Role 2,true,true,0.522083,0.0,The task is feasible and the score combines local experience and workload.,0,,true
0,Assess loan risk,Loan Officer-000004,Role 2,true,true,0.514742,0.0,The task is feasible and the score combines local experience and workload.,0,,false
2,Applicant completes form,Applicant-000001,Role 6,true,true,1.0,0.0,The task is feasible and the score combines local experience and workload.,0,,true
3,Return application back to applicant,Clerk-000004,Role 1,true,true,0.410465,0.0,The task is feasible and the score combines local experience and workload.,0,,true
3,Return application back to applicant,Clerk-000006,Role 1,true,true,0.295931,0.0,The task is feasible and the score combines local experience and workload.,1,,false
1,AML check,AML Investigator-000001,Role 3,true,true,0.669699,0.0,The task is feasible and the score combines local experience and workload.,0,,true
1,AML check,AML Investigator-000002,Role 3,true,true,0.505301,0.0,The task is feasible and the score combines local experience and workload.,1,,false
