case_id,activity,resource,start_time,end_time
0,Check application form completeness,Clerk-000001,2023-04-20 08:00:00+00:00,2023-04-20 08:08:45.291198+00:00
0,Appraise property,Appraiser-000001,2023-04-20 08:08:45.291198+00:00,2023-04-20 09:29:40.347190+00:00
1,Check application form completeness,Clerk-000006,2023-04-20 08:30:00+00:00,2023-04-20 08:40:41.873575+00:00
0,Check credit history,Clerk-000005,2023-04-20 09:29:40.347190+00:00,2023-04-20 09:36:27.101972+00:00
1,Appraise property,Appraiser-000002,2023-04-20 08:40:41.873575+00:00,2023-04-20 09:07:09.907272+00:00
2,Check application form completeness,Clerk-000008,2023-04-20 09:00:00+00:00,2023-04-20 09:11:05.253422+00:00
0,AML check,AML Investigator-000002,2023-04-20 09:36:27.101972+00:00,2023-04-20 09:38:23.544010+00:00
1,Check credit history,Clerk-000002,2023-04-20 09:07:09.907272+00:00,2023-04-20 09:41:12.044431+00:00
2,Return application back to applicant,Clerk-000007,2023-04-20 09:11:05.253422+00:00,2023-04-20 09:16:05.253422+00:00
3,Check application form completeness,Clerk-000003,2023-04-20 09:30:00+00:00,2023-04-20 09:34:20.323323+00:00
0,Assess loan risk,Loan Officer-000001,2023-04-20 09:38:23.544010+00:00,2023-04-20 09:58:23.544010+00:00
2,Applicant completes form,Applicant-000001,2023-04-20 09:16:05.253422+00:00,2023-04-20 10:16:05.253422+00:00
3,Return application back to applicant,Clerk-000004,2023-04-20 09:34:20.323323+00:00,2023-04-20 09:39:20.323323+00:00
1,AML check,AML Investigator-000001,2023-04-20 09:41:12.044431+00:00,2023-04-20 10:08:54.998934+00:00
0,Reject application,Clerk-000001,2023-04-20 09:58:23.544010+00:00,2023-04-20 10:08:23.544010+00:00
4,Check application form completeness,Clerk-000006,2023-04-20 10:00:00+00:00,2023-04-20 10:14:25.330133+00:00
2,Check application form completeness,Clerk-000008,2023-04-20 10:16:05.253422+00:00,2023-04-20 10:17:58.899831+00:00
1,Assess loan risk,Loan Officer-000004,2023-04-20 10:08:54.998934+00:00,2023-04-20 10:28:54.998934+00:00
4,Check credit history,Clerk-000005,2023-04-20 10:14:25.330133+00:00,2023-04-20 10:17:54.216225+00:00
3,Applicant completes form,Applicant-000001,2023-04-20 10:16:05.253422+00:00,2023-04-20 11:16:05.253422+00:00
2,Check credit history,Clerk-000002,2023-04-20 10:17:58.899831+00:00,2023-04-20 10:21:35.800874+00:00
4,Appraise property,Appraiser-000001,2023-04-20 10:17:54.216225+00:00,2023-04-20 10:42:15.180243+00:00
2,Appraise property,Appraiser-000002,2023-04-20 10:21:35.800874+00:00,2023-04-20 10:23:58.104435+00:00
1,Reject application,Clerk-000004,2023-04-20 10:28:54.998934+00:00,2023-04-20 10:38:54.998934+00:00
3,Check application form completeness,Clerk-000007,2023-04-20 11:16:05.253422+00:00,2023-04-20 11:53:35.649268+00:00
2,AML check,AML Investigator-000002,2023-04-20 10:23:58.104435+00:00,2023-04-20 11:00:25.824222+00:00
5,Check application form completeness,Clerk-000003,2023-04-20 10:30:00+00:00,2023-04-20 13:44:17.976179+00:00
3,Return application back to applicant,Clerk-000006,2023-04-20 11:53:35.649268+00:00,2023-04-20 11:58:35.649268+00:00
4,AML check,AML Investigator-000001,2023-04-20 10:42:15.180243+00:00,2023-04-20 10:58:50.944334+00:00
6,Check application form completeness,Clerk-000001,2023-04-20 11:00:00+00:00,2023-04-20 11:01:45.481627+00:00
2,Assess loan risk,Loan Officer-000002,2023-04-20 11:00:25.824222+00:00,2023-04-20 11:20:25.824222+00:00
3,Applicant completes form,Applicant-000001,2023-04-20 11:58:35.649268+00:00,2023-04-20 12:58:35.649268+00:00
5,AML check,AML Investigator-000002,2023-04-20 13:44:17.976179+00:00,2023-04-20 14:08:37.571316+00:00
4,Assess loan risk,Loan Officer-000003,2023-04-20 10:58:50.944334+00:00,2023-04-20 11:18:50.944334+00:00
6,AML check,AML Investigator-000001,2023-04-20 11:01:45.481627+00:00,2023-04-20 11:12:07.926039+00:00
2,Reject application,Clerk-000008,2023-04-20 11:20:25.824222+00:00,2023-04-20 11:30:25.824222+00:00
7,Check application form completeness,Clerk-000002,2023-04-20 11:30:00+00:00,2023-04-20 11:44:25.721559+00:00
3,Check application form completeness,Clerk-000007,2023-04-20 12:58:35.649268+00:00,2023-04-20 14:30:14.312973+00:00
5,Appraise property,Appraiser-000001,2023-04-20 14:08:37.571316+00:00,2023-04-20 14:51:13.769243+00:00
6,Appraise property,Appraiser-000002,2023-04-20 11:12:07.926039+00:00,2023-04-20 11:45:12.146162+00:00
4,Reject application,Clerk-000004,2023-04-20 11:18:50.944334+00:00,2023-04-20 11:28:50.944334+00:00
8,Check application form completeness,Clerk-000005,2023-04-20 12:00:00+00:00,2023-04-20 12:18:43.826569+00:00
3,Appraise property,Appraiser-000002,2023-04-20 14:30:14.312973+00:00,2023-04-20 14:54:54.844671+00:00
5,Check credit history,Clerk-000003,2023-04-20 14:51:13.769243+00:00,2023-04-20 14:54:26.558778+00:00
6,Check credit history,Clerk-000002,2023-04-20 11:45:12.146162+00:00,2023-04-20 11:56:31.587586+00:00
8,Return application back to applicant,Clerk-000006,2023-04-20 12:18:43.826569+00:00,2023-04-20 12:23:43.826569+00:00
9,Check application form completeness,Clerk-000001,2023-04-20 12:30:00+00:00,2023-04-20 12:38:03.983772+00:00
5,Assess loan risk,Loan Officer-000001,2023-04-20 14:54:26.558778+00:00,2023-04-21 07:14:26.558778+00:00
3,Check credit history,Clerk-000005,2023-04-20 14:54:54.844671+00:00,2023-04-20 15:25:55.881587+00:00
7,Appraise property,Appraiser-000001,2023-04-20 11:44:25.721559+00:00,2023-04-20 12:20:26.924645+00:00
6,Assess loan risk,Loan Officer-000004,2023-04-20 11:56:31.587586+00:00,2023-04-20 12:16:31.587586+00:00
9,Check credit history,Clerk-000004,2023-04-20 12:38:03.983772+00:00,2023-04-20 13:32:02.795277+00:00
3,AML check,AML Investigator-000002,2023-04-20 15:25:55.881587+00:00,2023-04-21 07:17:01.713733+00:00
5,Reject application,Clerk-000008,2023-04-21 07:14:26.558778+00:00,2023-04-21 07:24:26.558778+00:00
6,Reject application,Clerk-000002,2023-04-20 12:16:31.587586+00:00,2023-04-20 12:26:31.587586+00:00
7,AML check,AML Investigator-000001,2023-04-20 12:20:26.924645+00:00,2023-04-20 12:45:52.849235+00:00
8,Applicant completes form,Applicant-000001,2023-04-20 12:58:35.649268+00:00,2023-04-20 13:58:35.649268+00:00
9,Appraise property,Appraiser-000001,2023-04-20 13:32:02.795277+00:00,2023-04-20 13:34:46.105347+00:00
3,Assess loan risk,Loan Officer-000002,2023-04-21 07:17:01.713733+00:00,2023-04-21 07:37:01.713733+00:00
9,AML check,AML Investigator-000001,2023-04-20 13:34:46.105347+00:00,2023-04-20 13:45:13.800915+00:00
8,Check application form completeness,Clerk-000001,2023-04-20 13:58:35.649268+00:00,2023-04-20 14:30:26.341846+00:00
3,Design loan offer,Loan Officer-000003,2023-04-21 07:37:01.713733+00:00,2023-04-21 07:58:56.251660+00:00
7,Check credit history,Clerk-000002,2023-04-20 12:45:52.849235+00:00,2023-04-20 12:56:04.464544+00:00
9,Assess loan risk,Loan Officer-000004,2023-04-20 13:45:13.800915+00:00,2023-04-20 14:05:13.800915+00:00
3,Approve loan offer,Senior Officer-000001,2023-04-21 07:58:56.251660+00:00,2023-04-21 08:18:56.251660+00:00
7,Assess loan risk,Loan Officer-000001,2023-04-20 12:56:04.464544+00:00,2023-04-20 13:16:04.464544+00:00
9,Design loan offer,Loan Officer-000004,2023-04-20 14:05:13.800915+00:00,2023-04-20 14:18:52.547972+00:00
8,AML check,AML Investigator-000001,2023-04-20 14:54:54.844671+00:00,2023-04-20 14:55:18.653128+00:00
3,Cancel application,Clerk-000007,2023-04-21 08:18:56.251660+00:00,2023-04-21 08:23:56.251660+00:00
7,Design loan offer,Loan Officer-000001,2023-04-20 13:16:04.464544+00:00,2023-04-20 13:16:46.927629+00:00
9,Approve loan offer,Senior Officer-000002,2023-04-20 14:18:52.547972+00:00,2023-04-20 14:38:52.547972+00:00
8,Appraise property,Appraiser-000002,2023-04-20 14:55:18.653128+00:00,2023-04-20 14:56:06.439106+00:00
7,Approve loan offer,Senior Officer-000001,2023-04-20 13:16:46.927629+00:00,2023-04-20 13:36:46.927629+00:00
9,Cancel application,Clerk-000004,2023-04-20 14:38:52.547972+00:00,2023-04-20 14:43:52.547972+00:00
8,Check credit history,Clerk-000003,2023-04-20 14:56:06.439106+00:00,2023-04-20 15:41:06.800498+00:00
7,Cancel application,Clerk-000002,2023-04-20 13:36:46.927629+00:00,2023-04-20 13:41:46.927629+00:00
8,Assess loan risk,Loan Officer-000004,2023-04-20 15:41:06.800498+00:00,2023-04-21 07:20:00.000000+00:00
8,Design loan offer,Loan Officer-000001,2023-04-21 07:20:00.000000+00:00,2023-04-21 07:54:45.307394+00:00
8,Approve loan offer,Senior Officer-000002,2023-04-21 07:54:45.307394+00:00,2023-04-21 08:14:45.307394+00:00
8,Approve application,Clerk-000008,2023-04-21 08:14:45.307394+00:00,2023-04-21 08:19:45.307394+00:00
