case_id,activity,previous_activity,previous_resource,decision_timestamp,candidate_count,shortlist_count,shortlist_resources,valid_bid_count,accepted_bid_count,bid_score_range,proposed_resource,executed_resource,proposal_accepted,selection_rule,bid_indices,execution_timestamp
0,Check application form completeness,,,2023-04-20 08:00:00+00:00,8,2,Clerk-000001|Clerk-000006,2,2,0.0,Clerk-000001,Clerk-000001,true,highest_valid_agent_bid,"[0, 1]",2023-04-20 08:00:00+00:00
0,Appraise property,Check application form completeness,Clerk-000001,2023-04-20 08:08:45.291198721+00:00,2,2,Appraiser-000001|Appraiser-000002,2,2,0.010602,Appraiser-000001,Appraiser-000001,true,highest_valid_agent_bid,"[2, 3]",2023-04-20 08:08:45.291198721+00:00
1,Check application form completeness,,,2023-04-20 08:30:00+00:00,8,2,Clerk-000006|Clerk-000008,2,2,0.0014720000000000288,Clerk-000006,Clerk-000006,true,highest_valid_agent_bid,"[4, 5]",2023-04-20 08:30:00+00:00
0,Check credit history,Appraise property,Appraiser-000001,2023-04-20 09:29:40.347190565+00:00,8,2,Clerk-000005|Clerk-000002,2,2,0.0008150000000000102,Clerk-000005,Clerk-000005,true,highest_valid_agent_bid,"[6, 7]",2023-04-20 09:29:40.347190565+00:00
1,Appraise property,Check application form completeness,Clerk-000006,2023-04-20 08:40:41.873575372+00:00,2,1,Appraiser-000002,1,1,0.0,Appraiser-000002,Appraiser-000002,true,highest_valid_agent_bid,[8],2023-04-20 08:40:41.873575372+00:00
2,Check application form completeness,,,2023-04-20 09:00:00+00:00,8,2,Clerk-000008|Clerk-000007,2,2,0.003679999999999961,Clerk-000008,Clerk-000008,true,highest_valid_agent_bid,"[9, 10]",2023-04-20 09:00:00+00:00
0,AML check,Check credit history,Clerk-000005,2023-04-20 09:36:27.101972739+00:00,2,2,AML Investigator-000002|AML Investigator-000001,2,2,0.010602,AML Investigator-000002,AML Investigator-000002,true,highest_valid_agent_bid,"[11, 12]",2023-04-20 09:36:27.101972739+00:00
1,Check credit history,Appraise property,Appraiser-000002,2023-04-20 09:07:09.907272865+00:00,8,2,Clerk-000002|Clerk-000004,2,2,0.0008159999999999834,Clerk-000002,Clerk-000002,true,highest_valid_agent_bid,"[13, 14]",2023-04-20 09:07:09.907272865+00:00
2,Return application back to applicant,Check application form completeness,Clerk-000008,2023-04-20 09:11:05.253422781+00:00,8,2,Clerk-000007|Clerk-000003,2,2,0.037790999999999964,Clerk-000007,Clerk-000007,true,highest_valid_agent_bid,"[15, 16]",2023-04-20 09:11:05.253422781+00:00
3,Check application form completeness,,,2023-04-20 09:30:00+00:00,8,2,Clerk-000003|Clerk-000004,2,2,0.012514000000000025,Clerk-000003,Clerk-000003,true,highest_valid_agent_bid,"[17, 18]",2023-04-20 09:30:00+00:00
0,Assess loan risk,AML check,AML Investigator-000002,2023-04-20 09:38:23.544010502+00:00,4,2,Loan Officer-000001|Loan Officer-000004,2,2,0.007340999999999931,Loan Officer-000001,Loan Officer-000001,true,highest_valid_agent_bid,"[19, 20]",2023-04-20 09:38:23.544010502+00:00
2,Applicant completes form,Return application back to applicant,Clerk-000007,2023-04-20 09:16:05.253422781+00:00,1,1,Applicant-000001,1,1,0.0,Applicant-000001,Applicant-000001,true,highest_valid_agent_bid,[21],2023-04-20 09:16:05.253422781+00:00
3,Return application back to applicant,Check application form completeness,Clerk-000003,2023-04-20 09:34:20.323323507+00:00,8,2,Clerk-000004|Clerk-000006,2,2,0.11453400000000002,Clerk-000004,Clerk-000004,true,highest_valid_agent_bid,"[22, 23]",2023-04-20 09:34:20.323323507+00:00
1,AML check,Check credit history,Clerk-000002,2023-04-20 09:41:12.044431087+00:00,2,2,AML Investigator-000001|AML Investigator-000002,2,2,0.16439800000000004,AML Investigator-000001,AML Investigator-000001,true,highest_valid_agent_bid,"[24, 25]",2023-04-20 09:41:12.044431087+00:00
0,Reject application,Assess loan risk,Loan Officer-000001,2023-04-20 09:58:23.544010502+00:00,8,2,Clerk-000001|Clerk-000008,2,2,0.011854000000000031,Clerk-000001,Clerk-000001,true,highest_valid_agent_bid,"[26, 27]",2023-04-20 09:58:23.544010502+00:00
